Asset_1,Asset_2,beta1_OLS,ADF_stat,ADF_pvalue,n_obs,Mean_Correlation,Stationary
KO,DUK,0.45165948503424674,-4.77432333563704,6.088255080891919e-05,2264,0.6016262721510921,True
KO,PEP,0.23341278018629452,-4.329592711698711,0.00039461818519959243,2264,0.6415106880537336,True
BAC,C,0.5450831685714572,-2.9549439152983683,0.039321717485856895,2264,0.7960292222836596,True
JPM,BAC,3.4719332200966098,-2.9295118806912663,0.04202222805444982,2264,0.8700608859069373,True
PEP,NEE,1.6917247783088853,-2.5957507386047505,0.09387868758731222,2264,0.6265233179100633,False
JPM,C,1.8575493606494051,-2.0460823483427637,0.2667400160070803,2264,0.8180122444082638,False
NEE,DUK,0.9767178031875936,-1.8976487343374522,0.33316802751243024,2264,0.6546104468138645,False
PEP,JNJ,0.734006302300866,-1.7994115486286115,0.38075388249384035,2264,0.6896484933005403,False
DUK,SO,1.8775601935933874,-1.6065241386422124,0.48031543910678076,2264,0.7624541750989194,False
XOM,CVX,0.2765483589006229,-1.4828147119473039,0.5419948806968227,2264,0.6811454556349631,False
DD,CAT,0.45561610791221563,-1.252198924001589,0.6507480160954513,2264,0.658881144550837,False
